Raman Shift / Pixel,Intensity
1992.3756013745706,3284.2
1991.4813573883164,3283.4
1990.587113402062,3285.5
1989.6928694158078,3260.7
1988.7986254295533,3297.4
1987.9043814432991,3279.7
1987.0101374570447,3292.6
1986.1158934707905,3288.9
1985.221649484536,3286.9
1984.327405498282,3281.5
1983.4331615120277,3275.1
1982.5389175257733,3295.2
1981.644673539519,3294.7
1980.7504295532647,3261.8
1979.8561855670105,3288.5
1978.961941580756,3279.4
1978.0676975945019,3297.9
1977.1734536082477,3297.6
1976.2792096219932,3284.3
1975.384965635739,3287.9
1974.4907216494846,3298.4
1973.5964776632304,3313.4
1972.702233676976,3348.5
1971.8079896907218,3280.2
1970.9137457044674,3284.6
1970.0195017182132,3279.8
1969.125257731959,3285.8
1968.2310137457046,3298.7
1967.3367697594504,3285.2
1966.442525773196,3295.3
1965.5482817869417,3290.2
1964.6540378006873,3278.7
1963.7597938144331,3293.3
1962.865549828179,3292.9
1961.9713058419245,3295.7
1961.0770618556703,3310.7
1960.1828178694159,3300.9
1959.2885738831617,3298.3
1958.3943298969073,3280.4
1957.500085910653,3297.1
1956.6058419243986,3292.6
1955.7115979381445,3294.2
1954.8173539518903,3295.1
1953.9231099656358,3299.9
1953.0288659793816,3269.6
1952.1346219931272,3261.8
1951.240378006873,3277.9
1950.3461340206186,3282.5
1949.4518900343644,3287.5
1948.5576460481102,3293.8
1947.6634020618558,3278.7
1946.7691580756016,3276.9
1945.8749140893472,3288.4
1944.980670103093,3310.4
1944.0864261168385,3275.7
1943.1921821305843,3296.7
1942.29793814433,3299.6
1941.4036941580757,3269.4
1940.5094501718215,3306.3
1939.615206185567,3321.0
1938.720962199313,3290.4
1937.8267182130585,3274.7
1936.9324742268043,3281.3
1936.0382302405499,3301.2
1935.1439862542957,3295.7
1934.2497422680415,3274.6
1933.355498281787,3279.3
1932.4612542955329,3315.3
1931.5670103092784,3278.4
1930.6727663230242,3312.7
1929.7785223367698,3310.2
1928.8842783505156,3295.1
1927.9900343642612,3287.7
1927.095790378007,3291.9
1926.2015463917528,3289.7
1925.3073024054984,3295.9
1924.4130584192442,3304.7
1923.5188144329898,3257.9
1922.6245704467356,3272.5
1921.7303264604811,3289.1
1920.836082474227,3270.8
1919.9418384879727,3291.5
1919.0475945017183,3287.8
1918.1533505154641,3280.0
1917.2591065292097,3294.3
1916.3648625429555,3273.5
1915.470618556701,3307.3
1914.576374570447,3288.5
1913.6821305841925,3283.0
1912.7878865979383,3297.4
1911.893642611684,3278.0
1910.9993986254296,3278.6
1910.1051546391755,3306.0
1909.210910652921,3283.0
1908.3166666666668,3304.9
1907.4224226804124,3295.2
1906.5281786941582,3302.4
1905.6339347079038,3274.9
1904.7396907216496,3288.9
1903.8454467353954,3304.2
1902.951202749141,3296.0
1902.0569587628868,3321.6
1901.1627147766324,3318.6
1900.2684707903782,3316.1
1899.3742268041237,3297.2
1898.4799828178695,3292.5
1897.5857388316153,3288.9
1896.691494845361,3287.2
1895.7972508591067,3274.8
1894.9030068728523,3286.1
1894.008762886598,3288.1
1893.1145189003437,3331.9
1892.2202749140895,3290.8
1891.3260309278353,3290.4
1890.4317869415809,3278.8
1889.5375429553267,3287.8
1888.6432989690722,3284.8
1887.749054982818,3281.3
1886.8548109965636,3307.0
1885.9605670103094,3315.9
1885.066323024055,3289.6
1884.1720790378008,3285.6
1883.2778350515466,3308.7
1882.3835910652922,3279.6
1881.489347079038,3255.2
1880.5951030927836,3268.0
1879.7008591065294,3298.2
1878.806615120275,3297.8
1877.9123711340208,3310.7
1877.0181271477663,3311.0
1876.1238831615121,3285.4
1875.229639175258,3302.4
1874.3353951890035,3283.7
1873.4411512027493,3328.2
1872.546907216495,3329.8
1871.6526632302407,3299.8
1870.7584192439863,3297.7
1869.864175257732,3279.3
1868.969931271478,3283.4
1868.0756872852235,3288.7
1867.1814432989693,3314.0
1866.2871993127148,3279.0
1865.3929553264607,3304.7
1864.4987113402062,3317.8
1863.604467353952,3298.0
1862.7102233676978,3298.4
1861.8159793814434,3283.9
1860.9217353951892,3282.3
1860.0274914089348,3292.7
1859.1332474226806,3283.9
1858.2390034364262,3288.9
1857.344759450172,3321.8
1856.4505154639176,3286.7
1855.5562714776634,3274.9
1854.662027491409,3315.0
1853.7677835051547,3298.2
1852.8735395189005,3271.2
1851.9792955326461,3299.8
1851.085051546392,3275.1
1850.1908075601375,3313.3
1849.2965635738833,3316.8
1848.4023195876289,3287.5
1847.5080756013747,3318.7
1846.6138316151205,3273.3
1845.719587628866,3275.1
1844.8253436426119,3275.2
1843.9310996563574,3282.1
1843.0368556701033,3279.7
1842.1426116838488,3295.4
1841.2483676975946,3315.2
1840.3541237113404,3328.7
1839.459879725086,3299.5
1838.5656357388318,3281.1
1837.6713917525774,3297.0
1836.7771477663232,3300.6
1835.8829037800688,3284.5
1834.9886597938146,3319.2
1834.0944158075604,3292.3
1833.200171821306,3294.3
1832.3059278350518,3273.4
1831.4116838487973,3318.9
1830.5174398625431,3307.4
1829.6231958762887,3308.3
1828.7289518900345,3280.8
1827.83470790378,3274.1
1826.940463917526,3289.7
1826.0462199312715,3317.2
1825.1519759450173,3270.5
1824.257731958763,3287.0
1823.3634879725087,3291.9
1822.4692439862545,3290.3
1821.575,3264.9
1820.6807560137458,3273.0
1819.7865120274914,3330.0
1818.8922680412372,3304.6
1817.998024054983,3288.8
1817.1037800687286,3283.3
1816.2095360824744,3316.9
1815.31529209622,3291.0
1814.4210481099658,3257.8
1813.5268041237114,3287.5
1812.6325601374572,3288.2
1811.738316151203,3307.0
1810.8440721649486,3277.5
1809.9498281786944,3285.1
1809.05558419244,3292.2
1808.1613402061857,3311.1
1807.2670962199313,3280.9
1806.3728522336771,3308.2
1805.478608247423,3307.4
1804.5843642611685,3309.2
1803.6901202749143,3298.8
1802.7958762886599,3311.8
1801.9016323024057,3283.0
1801.0073883161513,3313.9
1800.113144329897,3298.4
1799.2189003436426,3298.1
1798.3246563573884,3297.2
1797.430412371134,3293.3
1796.5361683848798,3289.3
1795.6419243986256,3283.3
1794.7476804123712,3280.7
1793.853436426117,3284.3
1792.9591924398626,3299.5
1792.0649484536084,3291.7
1791.170704467354,3302.8
1790.2764604810998,3291.9
1789.3822164948456,3319.9
1788.4879725085912,3296.5
1787.593728522337,3259.4
1786.6994845360825,3287.4
1785.8052405498283,3296.6
1784.910996563574,3314.2
1784.0167525773197,3282.6
1783.1225085910655,3282.5
1782.228264604811,3298.9
1781.334020618557,3298.4
1780.4397766323025,3275.5
1779.5455326460483,3286.9
1778.6512886597939,3293.6
1777.7570446735397,3282.2
1776.8628006872855,3298.0
1775.968556701031,3298.5
1775.0743127147769,3306.3
1774.1800687285224,3300.4
1773.2858247422682,3310.6
1772.3915807560138,3299.7
1771.4973367697596,3286.2
1770.6030927835052,3316.7
1769.708848797251,3282.2
1768.8146048109966,3284.6
1767.9203608247424,3277.9
1767.0261168384882,3293.3
1766.1318728522338,3310.7
1765.2376288659796,3292.4
1764.3433848797251,3312.5
1763.449140893471,3308.8
1762.5548969072165,3294.2
1761.6606529209623,3334.8
1760.7664089347081,3307.6
1759.8721649484537,3295.1
1758.9779209621995,3274.7
1758.083676975945,3321.1
1757.1894329896909,3297.9
1756.2951890034365,3289.5
1755.4009450171823,3310.2
1754.506701030928,3291.5
1753.6124570446736,3303.1
1752.7182130584195,3287.2
1751.823969072165,3297.0
1750.9297250859108,3281.3
1750.0354810996564,3273.7
1749.1412371134022,3302.4
1748.2469931271478,3299.1
1747.3527491408936,3291.4
1746.4585051546392,3315.8
1745.564261168385,3308.0
1744.6700171821308,3278.8
1743.7757731958764,3304.9
1742.8815292096222,3309.1
1741.9872852233677,3342.0
1741.0930412371135,3313.3
1740.1987972508591,3285.8
1739.304553264605,3298.6
1738.4103092783507,3281.1
1737.5160652920963,3281.2
1736.621821305842,3285.3
1735.7275773195877,3323.7
1734.8333333333335,3294.1
1733.939089347079,3300.5
1733.0448453608249,3299.1
1732.1506013745707,3309.8
1731.2563573883162,3300.4
1730.362113402062,3317.0
1729.4678694158076,3308.4
1728.5736254295534,3308.7
1727.679381443299,3313.1
1726.7851374570448,3307.1
1725.8908934707906,3275.8
1724.9966494845362,3263.0
1724.1024054982818,3304.0
1723.2081615120276,3324.8
1722.3139175257734,3305.5
1721.419673539519,3316.6
1720.5254295532648,3330.2
1719.6311855670106,3285.7
1718.7369415807561,3295.6
1717.8426975945017,3307.9
1716.9484536082475,3285.9
1716.0542096219933,3314.1
1715.159965635739,3316.3
1714.2657216494847,3287.9
1713.3714776632303,3297.3
1712.477233676976,3317.9
1711.5829896907217,3311.7
1710.6887457044675,3296.0
1709.7945017182133,3295.9
1708.9002577319588,3287.1
1708.0060137457046,3297.3
1707.1117697594502,3278.3
1706.217525773196,3302.5
1705.3232817869416,3277.0
1704.4290378006874,3303.0
1703.5347938144332,3300.5
1702.6405498281788,3278.7
1701.7463058419246,3319.9
1700.8520618556702,3298.9
1699.957817869416,3317.5
1699.0635738831616,3302.7
1698.1693298969074,3303.6
1697.2750859106532,3304.8
1696.3808419243987,3299.1
1695.4865979381443,3310.3
1694.5923539518901,3298.1
1693.698109965636,3311.7
1692.8038659793815,3286.2
1691.9096219931273,3289.1
1691.015378006873,3321.4
1690.1211340206187,3309.8
1689.2268900343643,3286.8
1688.33264604811,3284.4
1687.4384020618559,3284.0
1686.5441580756014,3288.9
1685.6499140893472,3268.1
1684.7556701030928,3301.2
1683.8614261168386,3292.9
1682.9671821305842,3324.3
1682.07293814433,3285.5
1681.1786941580758,3292.9
1680.2844501718214,3298.3
1679.3902061855672,3278.7
1678.4959621993128,3286.2
1677.6017182130586,3294.2
1676.7074742268042,3283.4
1675.81323024055,3267.7
1674.9189862542958,3298.0
1674.0247422680413,3310.8
1673.1304982817871,3321.4
1672.2362542955327,3315.5
1671.3420103092785,3307.8
1670.447766323024,3292.4
1669.55352233677,3291.3
1668.6592783505157,3296.2
1667.7650343642613,3287.4
1666.8707903780069,3275.1
1665.9765463917527,3303.7
1665.0823024054985,3279.7
1664.188058419244,3326.1
1663.2938144329898,3287.2
1662.3995704467357,3305.9
1661.5053264604812,3276.5
1660.6110824742268,3302.4
1659.7168384879726,3301.4
1658.8225945017184,3297.5
1657.928350515464,3290.5
1657.0341065292098,3300.2
1656.1398625429554,3330.7
1655.2456185567012,3290.0
1654.3513745704468,3288.1
1653.4571305841926,3307.2
1652.5628865979384,3298.4
1651.668642611684,3287.9
1650.7743986254297,3305.7
1649.8801546391753,3320.9
1648.9859106529211,3275.3
1648.0916666666667,3293.0
1647.1974226804125,3284.7
1646.3031786941583,3302.8
1645.4089347079039,3297.1
1644.5146907216495,3300.1
1643.6204467353953,3314.5
1642.726202749141,3284.3
