x0000,y0000
1744.9855421687,5304.1
1744.0897590361,5272.9
1743.1939759036,5326.2
1742.2981927711,5288.8
1741.4024096386,5200.
1740.5066265060,5204.6
1739.6108433735,5278.6
1738.715060241,5361.4
1737.8192771084,5418.1
1736.9234939759,5258.3
1736.0277108434,5422.8
1735.1319277108,5405.1
1734.2361445783,5420.7
1733.3403614458,5413.2
1732.4445783133,5450.9
1731.5487951807,5447.2
1730.6530120482,5534.4
1729.7572289157,5514.1
1728.8614457831,5561.7
1727.9656626506,5437.8
1727.0698795181,5599.8
1726.1740963855,5672.
1725.2783132530,5615.
1724.3825301205,5621.
1723.486746988,5755.6
1722.5909638554,5752.
1721.6951807229,5594.
1720.7993975904,5637.
1719.9036144578,5774.1
1719.0078313253,5605.1
1718.1120481928,5763.
1717.2162650602,5670.
1716.3204819277,5819.4
1715.4246987952,5686.7
1714.5289156627,5710.2
1713.6331325301,5723.
1712.7373493976,5749.4
1711.8415662651,5781.1
1710.9457831325,5732.9
1710.0500000000,5780.5
1709.1542168675,5642.4
1708.2584337349,5672.3
1707.3626506024,5680.9
1706.4668674699,5751.2
1705.5710843373,5746.3
1704.6753012048,5819.3
1703.7795180723,5874.2
1702.8837349398,5830.3
1701.9879518072,5901.6
1701.0921686747,5805.6
1700.1963855422,5925.8
1699.3006024096,5922.6
1698.4048192771,6005.5
1697.5090361446,6094.2
1696.6132530120,6066.
1695.7174698795,6057.6
1694.821686747,6154.
1693.9259036145,6151.3
1693.0301204819,6298.3
1692.1343373494,6349.1
1691.2385542169,6394.4
1690.3427710843,6512.1
1689.4469879518,6474.
1688.5512048193,6531.
1687.6554216867,6707.9
1686.7596385542,6845.1
1685.8638554217,6923.5
1684.9680722892,7020.
1684.0722891566,7013.9
1683.1765060241,7151.3
1682.2807228916,7224.6
1681.3849397590,7321.9
1680.4891566265,7343.4
1679.593373494,7363.6
1678.6975903614,7486.9
1677.8018072289,7650.5
1676.9060240964,7639.1
1676.0102409639,7775.8
1675.1144578313,7851.9
1674.2186746988,7861.7
1673.3228915663,8017.8
1672.4271084337,7904.9
1671.5313253012,8015.5
1670.6355421687,8174.2
1669.7397590361,8110.6
1668.8439759036,8165.2
1667.9481927711,8140.1
1667.0524096386,8167.7
1666.1566265060,8453.
1665.2608433735,8459.
1664.365060241,8431.
1663.4692771084,8605.4
1662.5734939759,8578.5
1661.6777108434,8615.
1660.7819277108,8626.6
1659.8861445783,8624.8
1658.9903614458,8749.2
1658.0945783133,8874.1
1657.1987951807,8867.8
1656.3030120482,8898.1
1655.4072289157,8839.3
1654.5114457831,8948.8
1653.6156626506,9001.8
1652.7198795181,9033.
1651.8240963855,9208.3
1650.9283132530,9122.8
1650.0325301205,9255.6
1649.136746988,9040.7
1648.2409638554,9251.
1647.3451807229,9144.6
1646.4493975904,9146.1
1645.5536144578,9149.5
1644.6578313253,9159.
1643.7620481928,9022.5
1642.8662650602,8998.9
1641.9704819277,9056.3
1641.0746987952,9057.2
1640.1789156627,8836.2
1639.2831325301,8792.9
1638.3873493976,8703.7
1637.4915662651,8586.5
1636.5957831325,8297.
1635.7000000000,8302.4
1634.8042168675,8247.2
1633.9084337349,8123.5
1633.0126506024,7948.1
1632.1168674699,7800.8
1631.2210843373,7623.5
1630.3253012048,7527.4
1629.4295180723,7464.4
1628.5337349398,7273.3
1627.6379518072,7177.
1626.7421686747,7199.2
1625.8463855422,6935.5
1624.9506024096,6950.6
1624.0548192771,6703.8
1623.1590361446,6675.7
1622.2632530120,6582.2
1621.3674698795,6583.3
1620.471686747,6466.1
1619.5759036145,6248.
1618.6801204819,6301.8
1617.7843373494,6227.1
1616.8885542169,6142.7
1615.9927710843,6002.
1615.0969879518,5954.5
1614.2012048193,6021.4
1613.3054216867,6093.7
1612.4096385542,5862.7
1611.5138554217,5953.6
1610.6180722892,5861.7
1609.7222891566,5830.5
1608.8265060241,5803.7
1607.9307228916,5864.
1607.0349397590,5793.8
1606.1391566265,5855.1
1605.243373494,5818.4
1604.3475903614,5767.6
1603.4518072289,5686.3
1602.5560240964,5628.7
1601.6602409639,5565.9
1600.7644578313,5508.4
1599.8686746988,5508.1
1598.9728915663,5442.3
1598.0771084337,5429.
1597.1813253012,5297.
1596.2855421687,5354.4
1595.3897590361,5268.
1594.4939759036,5200.1
1593.5981927711,5013.3
1592.7024096386,4921.6
1591.8066265060,4879.3
1590.9108433735,4904.9
1590.015060241,4857.4
1589.1192771084,4769.5
1588.2234939759,4672.5
1587.3277108434,4594.8
1586.4319277108,4523.9
1585.5361445783,4438.8
1584.6403614458,4464.9
1583.7445783133,4330.9
1582.8487951807,4351.8
1581.9530120482,4336.1
1581.0572289157,4267.
1580.1614457831,4168.6
1579.2656626506,4244.8
1578.3698795181,4159.7
1577.4740963855,4224.2
1576.5783132530,4167.7
1575.6825301205,4144.9
1574.786746988,4114.6
1573.8909638554,4065.
1572.9951807229,4082.4
1572.0993975904,4052.
1571.2036144578,4051.3
1570.3078313253,4105.8
1569.4120481928,4201.4
1568.5162650602,4091.4
1567.6204819277,3939.8
1566.7246987952,4006.1
1565.8289156627,4018.7
1564.9331325301,4049.5
1564.0373493976,4076.6
1563.1415662651,3964.
1562.2457831325,4080.3
1561.3500000000,4012.4
1560.4542168675,4038.5
1559.5584337349,3980.
1558.6626506024,4064.7
1557.7668674699,4006.5
1556.8710843373,4090.7
1555.9753012048,3987.5
1555.0795180723,4099.7
1554.1837349398,4045.
1553.2879518072,4005.9
1552.3921686747,4076.2
1551.4963855422,3979.6
1550.6006024096,4067.5
1549.7048192771,4070.7
1548.8090361446,3994.2
1547.9132530120,4052.4
1547.0174698795,4103.7
1546.121686747,4053.7
1545.2259036145,3991.7
1544.3301204819,4015.4
1543.4343373494,4055.5
1542.5385542169,4078.5
1541.6427710843,4168.4
1540.7469879518,3991.3
1539.8512048193,4064.1
1538.9554216867,4138.3
1538.0596385542,4056.7
1537.1638554217,4134.2
1536.2680722892,4091.7
1535.3722891566,4061.
