x0000,y0000
1828.293373494,5672.2
1827.3975903614,5487.7
1826.5018072289,5500.9
1825.6060240964,5453.2
1824.7102409639,5363.6
1823.8144578313,5408.
1822.9186746988,5507.2
1822.0228915663,5429.7
1821.1271084337,5373.5
1820.2313253012,5404.3
1819.3355421687,5271.9
1818.4397590361,5411.7
1817.5439759036,5382.
1816.6481927711,5375.9
1815.7524096386,5378.2
1814.8566265060,5355.6
1813.9608433735,5378.3
1813.065060241,5332.
1812.1692771084,5400.
1811.2734939759,5493.2
1810.3777108434,5520.7
1809.4819277108,5436.6
1808.5861445783,5448.6
1807.6903614458,5459.1
1806.7945783133,5387.3
1805.8987951807,5446.7
1805.0030120482,5496.8
1804.1072289157,5458.4
1803.2114457831,5475.2
1802.3156626506,5463.3
1801.4198795181,5373.
1800.5240963855,5374.1
1799.6283132530,5456.2
1798.7325301205,5472.
1797.836746988,5406.8
1796.9409638554,5564.7
1796.0451807229,5371.5
1795.1493975904,5475.3
1794.2536144578,5337.
1793.3578313253,5451.4
1792.4620481928,5479.3
1791.5662650602,5424.9
1790.6704819277,5526.6
1789.7746987952,5477.6
1788.8789156627,5521.7
1787.9831325301,5521.9
1787.0873493976,5659.7
1786.1915662651,5535.4
1785.2957831325,5671.4
1784.4,5667.8
1783.5042168675,5685.7
1782.6084337349,5736.8
1781.7126506024,5637.6
1780.8168674699,5749.1
1779.9210843373,5762.7
1779.0253012048,5856.2
1778.1295180723,5922.5
1777.2337349398,5767.5
1776.3379518072,5861.1
1775.4421686747,6009.8
1774.5463855422,5965.4
1773.6506024096,6007.5
1772.7548192771,5904.5
1771.8590361446,6028.6
1770.9632530120,5951.6
1770.0674698795,6042.4
1769.171686747,5932.1
1768.2759036145,5916.1
1767.3801204819,5873.9
1766.4843373494,5926.3
1765.5885542169,6048.3
1764.6927710843,5967.
1763.7969879518,6079.7
1762.9012048193,6045.
1762.0054216867,6170.6
1761.1096385542,6058.9
1760.2138554217,6135.9
1759.3180722892,6013.3
1758.4222891566,6039.8
1757.5265060241,6092.4
1756.6307228916,6061.5
1755.7349397590,6194.
1754.8391566265,6080.5
1753.943373494,6028.9
1753.0475903614,6145.5
1752.1518072289,6083.3
